712 634
73 461
75 203
149 721
241 234
17 743
85 550
137 884
169 445
79 113
183 475
129 805
235 116
440 404
538 27
50 601
31 349
49 280
161 554
878 996
886 865
456 604
129 823
264 846
11 658
636 140
372 380
65 730
406 911
93 485
87 632
140 158
143 816
317 627
93 691
240 579
598 395
364 491
45 283
740 73
942 568
86 819
9 283
355 688
39 514
192 124
13 989
174 884
3 832
26 439
149 3
992 679
402 56
978 175
3 484
9 539
593 921
553 164
301 465
174 939
411 748
842 577
412 825
270 39
55 571
62 125
129 905
714 681
67 263
47 552
7 190
177 179
419 517
67 987
75 844
355 803
51 472
886 459
842 888
87 499
192 296
2 866
3 151
181 143
345 443
100 193
51 230
216 298
878 197
39 130
707 269
19 822
740 508
406 906
963 772
828 620
120 874
57 605
440 458
312 229
24 1
840 575
129 799
945 984
919 443
192 686
116 104
345 224
505 546
75 267
134 55
317 804
168 577
47 18
50 200
6 899
456 965
24 396
48 66
598 948
317 255
395 463
963 974
149 983
20 507
358 195
333 726
49 773
235 852
150 653
898 376
395 802
919 814
495 586
981 410
359 348
372 858
19 800
259 509
138 316
124 459
310 295
145 583
178 223
372 558
268 179
31 473
100 215
27 635
406 318
129 167
560 30
1 923
150 610
271 110
367 871
963 415
5 492
972 180
75 136
377 808
271 287
359 227
97 528
351 986
837 455
177 663
131 833
351 471
67 334
544 975
271 572
402 792
351 196
47 857
5 117
182 855
293 90
531 429
194 787
173 868
740 726
938 863
220 12
609 935
842 301
129 247
919 914
93 422
419 568
27 929
312 677
740 127
32 76
408 23
28 629
624 534
408 950
937 994
364 144
79 623
270 627
253 961
161 628
544 888
51 514
311 591
174 127
842 573
1 710
17 59
377 109
39 933
919 14
330 184
174 860
938 903
297 564
372 253
44 948
271 75
137 392
116 300
384 203
34 334
992 946
177 26
709 864
174 379
240 363
419 633
206 984
201 262
525 667
137 860
202 906
139 274
807 701
32 287
326 742
1 474
208 516
67 410
96 248
192 700
411 726
355 750
712 354
229 885
367 772
661 602
372 99
49 256
412 654
288 588
72 825
932 710
501 322
925 949
165 221
137 939
312 818
301 239
139 521
505 313
712 144
794 637
108 733
97 768
796 852
9 511
419 884
98 340
8 78
531 923
128 147
31 6
709 26
501 687
440 450
293 608
145 985
8 197
327 670
123 725
32 910
79 444
160 863
231 573
407 187
264 192
271 659
707 344
495 451
129 433
115 426
878 912
28 974
140 269
95 305
129 674
297 177
456 173
301 635
87 89
168 331
794 777
408 905
6 242
260 685
815 615
8 578
553 753
108 374
189 373
21 506
898 913
85 943
938 483
112 100
68 994
185 160
253 527
293 615
97 361
128 685
268 730
333 518
398 487
351 912
981 468
182 723
402 984
161 236
206 503
38 125
317 941
7 507
359 559
216 774
